iter	Logloss
0	0.6360964597
1	0.5912711264
2	0.5556251693
3	0.5287888509
4	0.50696646
5	0.4897174496
6	0.4760380914
7	0.4655563865
8	0.4569794976
9	0.4500154197
10	0.444140911
11	0.4396619415
12	0.4360914394
13	0.432974947
14	0.4303079559
15	0.4279304008
16	0.4260596367
17	0.4246498168
18	0.4233073747
19	0.4221024548
20	0.4211085659
21	0.4202290052
22	0.419456554
23	0.4188502813
24	0.4184061055
25	0.4179248672
26	0.4175887584
27	0.4172234463
28	0.4169282209
29	0.4165972234
30	0.4163483403
31	0.416093987
32	0.4158895369
33	0.4156913141
34	0.4155236683
35	0.415342476
36	0.4151673397
37	0.4150178639
38	0.4148766504
39	0.414743705
40	0.4146517896
41	0.4145341274
42	0.4144344196
43	0.4143198035
44	0.4142438364
45	0.414173738
46	0.4140983935
47	0.4140231121
48	0.4139524686
49	0.4138870428
50	0.4138104225
51	0.4137512077
52	0.4136886706
53	0.4136308637
54	0.4135876553
55	0.4135288714
56	0.413484638
57	0.4134291341
58	0.4133776882
59	0.4133280246
60	0.4132834281
61	0.4132399245
62	0.4131955666
63	0.413130457
64	0.4130876179
65	0.4130605862
66	0.4130177912
67	0.412983346
68	0.4129470631
69	0.4129089986
70	0.4128660844
71	0.4128208525
72	0.4127946519
73	0.4127628721
74	0.4127313952
75	0.4126917652
76	0.4126541653
77	0.4126291347
78	0.4126070374
79	0.4125767503
80	0.4125358014
81	0.4125105984
82	0.412483937
83	0.412461777
84	0.4124346959
85	0.4123950658
86	0.412361734
87	0.4123295652
88	0.4123115246
89	0.4122879924
90	0.4122569056
91	0.4122302368
92	0.4122137237
93	0.4121756616
94	0.4121547885
95	0.4121218043
96	0.4120894822
97	0.4120603777
98	0.4120324614
99	0.4120229536
100	0.4119976238
101	0.4119706661
102	0.4119392902
103	0.4119063492
104	0.4118846008
105	0.4118651643
106	0.4118391804
107	0.4118072655
108	0.4117728126
109	0.4117477315
110	0.4117102433
111	0.4116878814
