iter	Passed	Remaining
411	4070	5808
412	4079	5798
413	4088	5787
414	4100	5780
415	4110	5770
416	4119	5758
417	4127	5747
418	4137	5737
419	4147	5727
420	4157	5717
421	4167	5707
422	4178	5700
423	4188	5690
424	4199	5681
425	4208	5670
426	4218	5660
427	4228	5650
428	4238	5641
429	4249	5632
430	4259	5623
431	4271	5615
432	4281	5606
433	4292	5597
434	4302	5588
435	4313	5579
436	4322	5569
437	4333	5559
438	4343	5551
439	4353	5541
440	4364	5531
441	4373	5521
442	4383	5511
443	4393	5501
444	4403	5492
445	4413	5482
446	4424	5473
447	4435	5464
448	4446	5456
449	4455	5445
450	4464	5435
451	4476	5427
452	4488	5419
453	4500	5412
454	4512	5404
455	4523	5396
456	4534	5388
457	4546	5380
458	4557	5371
459	4567	5362
460	4580	5355
461	4592	5348
462	4604	5340
463	4616	5332
464	4627	5323
465	4638	5315
466	4648	5305
467	4658	5295
468	4670	5287
469	4680	5278
470	4690	5268
471	4702	5260
472	4712	5250
473	4722	5240
474	4731	5229
475	4742	5220
476	4752	5210
477	4762	5201
478	4774	5193
479	4785	5184
480	4795	5174
481	4806	5165
482	4817	5157
483	4828	5148
484	4839	5139
485	4850	5129
486	4861	5121
487	4872	5111
488	4883	5103
489	4894	5094
490	4906	5086
491	4919	5079
492	4931	5071
493	4944	5064
494	4958	5058
495	4973	5053
496	4985	5045
497	4998	5038
498	5010	5030
499	5020	5020
500	5031	5011
501	5041	5001
502	5052	4992
503	5062	4982
504	5072	4972
505	5082	4962
506	5092	4951
507	5102	4941
508	5113	4932
509	5124	4923
510	5135	4914
511	5147	4906
512	5158	4897
513	5169	4888
514	5180	4878
515	5191	4869
516	5201	4859
517	5212	4850
518	5222	4840
519	5233	4830
520	5245	4822
521	5258	4815
522	5272	4808
523	5285	4800
524	5296	4791
525	5307	4782
526	5317	4772
527	5328	4763
528	5339	4754
529	5350	4744
530	5361	4735
531	5373	4726
532	5384	4717
533	5395	4708
534	5406	4698
535	5417	4689
536	5428	4680
537	5438	4670
538	5450	4661
539	5462	4653
540	5473	4644
541	5484	4634
542	5496	4625
543	5508	4617
544	5519	4608
545	5530	4598
546	5541	4589
547	5551	4578
548	5562	4569
549	5574	4561
550	5586	4552
551	5596	4542
552	5608	4533
553	5619	4523
554	5629	4514
555	5642	4505
556	5652	4495
557	5662	4485
558	5672	4474
559	5681	4464
560	5691	4453
561	5701	4443
562	5711	4432
563	5721	4422
564	5731	4412
565	5741	4402
